,samples,RT
0,MAI1502A3073,all
1,MAI1502A3074,all
2,MAI1502A3075,all
3,MAI1502A3076,all
4,MAI1502A3077,all
5,MAI1502A3078,all
6,MAI1502A3079,all
7,MAI1502A3080,all
8,MAI1502A3081,all
9,MAI1502A3082,all
10,MAI1502A3083,all
11,MAI1502A3084,all
12,MAI1502A3085,all
13,MAI1502A3086,all
14,MAI1502A3087,all
15,MAI1502A3088,all
16,MAI1502A3089,all
17,MAI1502A3090,all
18,MAI1502A3091,all
19,MAI1502A3092,all
20,MAI1502A3093,all
21,MAI1502A3094,all
22,MAI1502A3095,all
23,MAI1502A3096,all
24,MAI1502A3097,all
25,MAI1502A3098,all
26,MAI1502A3099,all
27,MAI1502A3100,all
28,MAI1502A3101,all
29,MAI1502A3102,all
30,MAI1502A3103,all
31,MAI1502A3104,all
32,MAI1502A3105,all
33,MAI1502A3106,all
34,MAI1502A3107,all
35,MAI1502A3108,all
36,MAI1502A3109,all
37,MAI1502A3110,all
38,MAI1502A3111,all
39,MAI1502A3112,all
40,MAI1502A3113,all
41,MAI1502A3114,all
42,MAI1502A3115,all
43,MAI1502A3116,all
44,MAI1502A3117,all
45,MAI1502A3118,all
46,MAI1502A3119,all
47,MAI1502A3120,all
48,MAI1502A3121,all
49,MAI1502A3122,all
50,MAI1502A3123,all
51,MAI1502A3124,all
52,MAI1502A3125,all
53,MAI1502A3126,all
54,MAI1502A3127,all
55,MAI1502A3128,all
56,MAI1502A3129,all
57,MAI1502A3130,all
58,MAI1502A3131,all
59,MAI1502A3132,all
60,MAI1502A3133,all
61,MAI1502A3134,all
62,MAI1502A3135,all
63,MAI1502A3136,all
64,MAI1502A3137,all
65,MAI1502A3138,all
66,MAI1502A3139,all
67,MAI1502A3140,all
68,MAI1502A3141,all
69,MAI1502A3142,all
70,MAI1502A3143,all
71,MAI1502A3144,all
72,MAI1502A3145,all
73,MAI1502A3146,all
74,MAI1502A3147,all
75,MAI1502A3148,all
76,MAI1502A3149,all
77,MAI1502A3150,all
78,MAI1502A3151,all
79,MAI1502A3152,all
80,MAI1502A3153,all
81,MAI1502A3154,all
82,MAI1502A3155,all
83,MAI1502A3156,all
84,MAI1502A3157,all
85,MAI1502A3158,all
86,MAI1502A3159,all
87,MAI1502A3160,all
88,MAI1502A3161,all
89,MAI1502A3162,all
90,MAI1502A3163,all
91,MAI1502A3164,all
92,MAI1502A3165,all
93,MAI1502A3166,all
94,MAI1502A3167,all
95,MAI1502A3168,all
96,MAI1502A3169,all
97,MAI1502A3170,all
98,MAI1502A3171,all
99,MAI1502A3172,all
100,MAI1502A3173,all
101,MAI1502A3174,all
102,MAI1502A3175,all
103,MAI1502A3176,all
104,MAI1502A3177,all
105,MAI1502A3178,all
106,MAI1502A3179,all
107,MAI1502A3180,all
108,MAI1502A3181,all
109,MAI1502A3182,all
110,MAI1502A3183,all
111,MAI1502A3184,all
112,MAI1502A3185,all
113,MAI1502A3186,all
114,MAI1502A3187,all
115,MAI1502A3188,all
116,MAI1502A3189,all
117,MAI1502A3190,all
118,MAI1502A3191,all
119,MAI1502A3192,all
120,MAI1502A3193,all
121,MAI1502A3194,all
122,MAI1502A3195,all
123,MAI1502A3196,all
124,MAI1502A3197,all
125,MAI1502A3198,all
126,MAI1502A3199,all
127,MAI1502A3200,all
128,MAI1502A3201,all
129,MAI1502A3202,all
130,MAI1502A3203,all
131,MAI1502A3204,all
132,MAI1502A3205,all
133,MAI1502A3206,all
134,MAI1502A3207,all
135,MAI1502A3208,all
136,MAI1502A3209,all
137,MAI1502A3210,all
138,MAI1502A3211,all
139,MAI1502A3212,all
140,MAI1502A3213,all
141,MAI1502A3214,all
142,MAI1502A3215,all
143,MAI1502A3216,all
144,MAI1502A3217,all
145,MAI1502A3218,all
146,MAI1502A3219,all
147,MAI1502A3220,all
148,MAI1502A3221,all
149,MAI1502A3222,all
150,MAI1502A3223,all
151,MAI1502A3224,all
152,MAI1502A3225,all
153,MAI1502A3226,all
154,MAI1502A3227,all
155,MAI1502A3228,all
156,MAI1502A3229,all
157,MAI1502A3230,all
158,MAI1502A3231,all
159,MAI1502A3232,all
160,MAI1502A3233,all
161,MAI1502A3234,all
162,MAI1502A3235,all
163,MAI1502A3236,all
164,MAI1502A3237,all
165,MAI1502A3238,all
166,MAI1502A3239,all
167,MAI1502A3240,all
168,MAI1502A3241,all
169,MAI1502A3242,all
170,MAI1502A3243,all
171,MAI1502A3244,all
172,MAI1502A3245,all
173,MAI1502A3246,all
174,MAI1502A3247,all
175,MAI1502A3248,all
176,MAI1502A3249,all
177,MAI1502A3250,all
178,MAI1502A3251,all
179,MAI1502A3252,all
180,MAI1502A3253,all
181,MAI1502A3254,all
182,MAI1502A3255,all
183,MAI1502A3256,all
184,MAI1502A3257,all
185,MAI1502A3258,all
186,MAI1502A3259,all
187,MAI1502A3260,all
188,MAI1502A3261,all
189,MAI1502A3262,all
190,MAI1502A3263,all
191,MAI1502A3264,all
192,MAI1502A3265,all
193,MAI1502A3266,all
194,MAI1502A3267,all
195,MAI1502A3268,all
196,MAI1502A3269,all
197,MAI1502A3270,all
198,MAI1502A3271,all
199,MAI1502A3272,all
200,MAI1502A3273,all
201,MAI1502A3274,all
202,MAI1502A3275,all
203,MAI1502A3276,all
204,MAI1502A3277,all
205,MAI1502A3278,all
206,MAI1502A3279,all
207,MAI1502A3280,all
208,MAI1502A3281,all
209,MAI1502A3282,all
210,MAI1502A3283,all
211,MAI1502A3284,all
212,MAI1502A3285,all
213,MAI1502A3286,all
214,MAI1502A3287,all
215,MAI1502A3288,all
216,MAI1502A3289,all
217,MAI1502A3290,all
218,MAI1502A3291,all
219,MAI1502A3292,all
220,MAI1502A3293,all
221,MAI1502A3294,all
222,MAI1502A3295,all
223,MAI1502A3296,all
224,MAI1502A3297,all
225,MAI1502A3298,all
226,MAI1502A3299,all
227,MAI1502A3300,all
228,MAI1502A3301,all
229,MAI1502A3302,all
230,MAI1502A3303,all
231,MAI1502A3304,all
232,MAI1502A3305,all
233,MAI1502A3306,all
234,MAI1502A3307,all
235,MAI1502A3308,all
236,MAI1502A3309,all
237,MAI1502A3310,all
238,MAI1502A3311,all
239,MAI1502A3312,all
240,MAI1502A3313,all
241,MAI1502A3314,all
242,MAI1502A3315,all
243,MAI1502A3316,all
244,MAI1502A3317,all
245,MAI1502A3318,all
246,MAI1502A3319,all
247,MAI1502A3320,all
248,MAI1502A3321,all
249,MAI1502A3322,all
250,MAI1502A3323,all
251,MAI1502A3324,all
252,MAI1502A3325,all
253,MAI1502A3326,all
254,MAI1502A3327,all
255,MAI1502A3328,all
256,MAI1502A3329,all
257,MAI1502A3330,all
258,MAI1502A3331,all
259,MAI1502A3332,all
260,MAI1502A3333,all
261,MAI1502A3334,all
262,MAI1502A3335,all
263,MAI1502A3336,all
264,MAI1502A3337,all
265,MAI1502A3338,all
266,MAI1502A3339,all
267,MAI1502A3340,all
268,MAI1502A3341,all
269,MAI1502A3342,all
270,MAI1502A3343,all
271,MAI1502A3344,all
272,MAI1502A3345,all
273,MAI1502A3346,all
274,MAI1502A3347,all
275,MAI1502A3348,all
276,MAI1502A3349,all
277,MAI1502A3350,all
278,MAI1502A3351,all
279,MAI1502A3352,all
280,MAI1502A3353,all
281,MAI1502A3354,all
282,MAI1502A3355,all
283,MAI1502A3356,all
284,MAI1502A3357,all
285,MAI1502A3358,all
286,MAI1502A3359,all
287,MAI1502A3360,all
288,MAI1502A3361,all
289,MAI1502A3362,all
290,MAI1502A3363,all
291,MAI1502A3364,all
292,MAI1502A3365,all
293,MAI1502A3366,all
294,MAI1502A3367,all
295,MAI1502A3368,all
296,MAI1502A3369,all
297,MAI1502A3370,all
298,MAI1502A3371,all
299,MAI1502A3372,all
300,MAI1502A3373,all
301,MAI1502A3374,all
302,MAI1502A3375,all
303,MAI1502A3376,all
304,MAI1502A3377,all
305,MAI1502A3378,all
306,MAI1502A3379,all
307,MAI1502A3380,all
308,MAI1502A3381,all
309,MAI1502A3382,all
310,MAI1502A3383,all
311,MAI1502A3384,all
312,MAI1502A3385,all
313,MAI1502A3386,all
314,MAI1502A3387,all
315,MAI1502A3388,all
316,MAI1502A3389,all
317,MAI1502A3390,all
318,MAI1502A3391,all
319,MAI1502A3392,all
320,MAI1502A3393,all
321,MAI1502A3394,all
322,MAI1502A3395,all
323,MAI1502A3396,all
324,MAI1502A3397,all
325,MAI1502A3398,all
326,MAI1502A3399,all
327,MAI1502A3400,all
328,MAI1502A3401,all
329,MAI1502A3402,all
330,MAI1502A3403,all
331,MAI1502A3404,all
332,MAI1502A3405,all
333,MAI1502A3406,all
334,MAI1502A3407,all
335,MAI1502A3408,all
336,MAI1502A3409,all
337,MAI1502A3410,all
338,MAI1502A3411,all
339,MAI1502A3412,all
340,MAI1502A3413,all
341,MAI1502A3414,all
342,MAI1502A3415,all
343,MAI1502A3416,all
344,MAI1502A3417,all
345,MAI1502A3418,all
346,MAI1502A3419,all
347,MAI1502A3420,all
348,MAI1502A3421,all
349,MAI1502A3422,all
350,MAI1502A3423,all
351,MAI1502A3424,all
352,MAI1502A3425,all
353,MAI1502A3426,all
354,MAI1502A3427,all
355,MAI1502A3428,all
356,MAI1502A3429,all
357,MAI1502A3430,all
358,MAI1502A3431,all
359,MAI1502A3432,all
360,MAI1502A3433,all
361,MAI1502A3434,all
362,MAI1502A3435,all
363,MAI1502A3436,all
364,MAI1502A3437,all
365,MAI1502A3438,all
366,MAI1502A3439,all
367,MAI1502A3440,all
368,MAI1502A3441,all
369,MAI1502A3442,all
370,MAI1502A3443,all
371,MAI1502A3444,all
372,MAI1502A3445,all
373,MAI1502A3446,all
374,MAI1502A3447,all
375,MAI1502A3448,all
376,MAI1502A3449,all
377,MAI1502A3450,all
378,MAI1502A3451,all
379,MAI1502A3452,all
380,MAI1502A3453,all
381,MAI1502A3454,all
382,MAI1502A3455,all
383,MAI1502A3456,all
